name,category,latitude,longitude,mood,budget,companion,area,time,description
TecEx India Private Limited,supermarket,13.0077889,80.2210455,errands,low,family,T. Nagar,one hour,
Namma Veedu Vasanta Bhavan,restaurant,13.0774212,80.2617168,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Paarambariyas,restaurant,12.9860999,80.2619675,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Ratna cafe,restaurant,13.0079506,80.2593989,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Mathsya,restaurant,13.0069358,80.254119,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Cocoa and Crème Rooftop Cafe,cafe,13.0069855,80.2541298,chill,mid,solo,Adyar,two hours,
Andhra Bhavan,restaurant,13.0809129,80.2698337,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Bombay Snacks Bar,fast_food,13.0810839,80.270267,casual,low,solo,Nungambakkam,one hour,
Irfan Snack Bar,cafe,13.0822249,80.2779874,chill,mid,solo,Nungambakkam,two hours,
A1 Fast Food,restaurant,13.0822821,80.278006,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Kuberan Tiffin Center,restaurant,13.0822992,80.2780088,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
KFC,fast_food,13.0835966,80.2703801,casual,low,solo,Nungambakkam,one hour,
Indian Railway Catering and Tourism Corporation,restaurant,13.0825495,80.275948,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
KFC,fast_food,13.0823112,80.2749621,casual,low,solo,Nungambakkam,one hour,
Ratna Cafe,restaurant,13.0827001,80.2748964,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Star Biryani,restaurant,13.0823857,80.2748937,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
MCH,restaurant,13.0827747,80.274891,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Vinu's Igloo ice cream shop,fast_food,13.0446108,80.2255869,casual,low,solo,T. Nagar,one hour,
Te Hut,cafe,13.046838,80.2261541,chill,mid,solo,Nungambakkam,two hours,
Grace Super market,supermarket,13.0473227,80.2263691,errands,low,family,Nungambakkam,one hour,
Venkateshwara restaurant,restaurant,13.0517209,80.2302313,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
IRCTC,fast_food,13.0827826,80.275151,casual,low,solo,Nungambakkam,one hour,
Pope John Paul II,memorial,13.0054087,80.1939606,misc,mid,solo,T. Nagar,one hour,
Mother Teresa,memorial,13.0053135,80.1939524,misc,mid,solo,T. Nagar,one hour,
Fourbeck Bridge (Marmalong Brook Bridge) Monument,monument,13.0258864,80.2304012,misc,mid,solo,T. Nagar,one hour,
Lt. Col. Samuel Dalrymple (Madras Artillery) Cupola,memorial,13.0055545,80.2015429,misc,mid,solo,T. Nagar,one hour,
The Nation Remembers,monument,13.0456353,80.2574632,misc,mid,solo,T. Nagar,one hour,
Sri Amritha Coolbar,fast_food,13.1030864,80.2800834,casual,low,solo,Nungambakkam,one hour,
Nambiyar Tea Stall,cafe,13.1032564,80.2805336,chill,mid,solo,Nungambakkam,two hours,
S.V.S. Fresh Juice & Chat Center,fast_food,13.1022369,80.2797057,casual,low,solo,Nungambakkam,one hour,
Hotel Sri Annapoorani Bawan,restaurant,13.102361,80.2798963,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Maria Fast Food,fast_food,13.102751,80.2798889,casual,low,solo,Nungambakkam,one hour,
Howdy Chennai,fast_food,13.1029879,80.2798961,casual,low,solo,Nungambakkam,one hour,
Kanishka Kulfi,fast_food,13.1030327,80.2798975,casual,low,solo,Nungambakkam,one hour,
Star Kitchen,restaurant,13.1015647,80.2825789,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Devi Tea Stall,cafe,13.1011731,80.2867141,chill,mid,solo,Nungambakkam,two hours,
Cafe Madrassi,cafe,13.1002052,80.2846695,chill,mid,solo,Nungambakkam,two hours,
New Mughal Biriyani,restaurant,13.1002136,80.2845375,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sai Ram Hot Chips,fast_food,13.1009472,80.2799238,casual,low,solo,Nungambakkam,one hour,
Tridev Hot 'N' Cool,restaurant,13.1020525,80.2798533,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Ravida Tea and Coffee Tiffin Centre,cafe,13.1030432,80.2842335,chill,mid,solo,Nungambakkam,two hours,
Delicious Fresh Food & Chats,fast_food,13.1027692,80.2841696,casual,low,solo,Nungambakkam,one hour,
Dinakaran Juice Centre,fast_food,13.1013345,80.2838452,casual,low,solo,Nungambakkam,one hour,
Archana Bhavan,restaurant,12.886228,80.1891219,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Nambiar Stores,convenience,13.1014696,80.2830744,errands,low,family,Nungambakkam,one hour,
Nirmala Tiffen Center,restaurant,13.0977527,80.2842159,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
TeaTrance & Snack Boat,cafe,12.9743802,80.1920173,chill,mid,solo,Adyar,two hours,
Vegetarian Family Restaurant,restaurant,13.0492981,80.2076279,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Vegetarian Famlily Restaurant,restaurant,13.0492863,80.2076268,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Restauration rapide,fast_food,13.0429774,80.2739518,casual,low,solo,T. Nagar,one hour,
Bay6 Restobar,restaurant,12.8831941,80.2518739,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Gossip Fusion Bristo,restaurant,12.8672541,80.2433736,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Shri Ramanaas,restaurant,12.9163361,80.1945842,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Rainbow Ice Cream,restaurant,13.0947269,80.2797805,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Gupta pan bhandar,supermarket,13.0944353,80.2795842,errands,low,family,Nungambakkam,one hour,
Rakshkumar & Co,supermarket,13.0956228,80.279808,errands,low,family,Nungambakkam,one hour,
Boys Non-veg Mess,restaurant,12.8707963,80.2198742,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Canteen,restaurant,12.8724833,80.2194824,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Boys Non-veg mess,restaurant,12.8724671,80.2186682,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Colonel Dr. Jeppiaar Memorial,memorial,12.873241,80.2213267,misc,mid,solo,Adyar,one hour,
Basil with a twist,restaurant,13.0496674,80.24228,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Happy Bum Pets,cafe,13.0506072,80.2428243,chill,mid,solo,Nungambakkam,two hours,
Bombaysthan,restaurant,13.0376928,80.2642431,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Chicking,restaurant,13.0631465,80.2440699,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Ponnusamy Hotel,restaurant,13.0609702,80.245495,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Girls mess,restaurant,12.8751022,80.2217535,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Santrupti Fine Dine,restaurant,13.0203079,80.1845758,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
"Mulberry tea, chaat and fruit bar",cafe,13.0508919,80.1992927,chill,mid,solo,Nungambakkam,two hours,
Sree balajee bhavan,restaurant,13.1240104,80.2014829,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
grace supermarket,supermarket,13.1286953,80.2017243,errands,low,family,Nungambakkam,one hour,
Aariya bhavan,fast_food,13.1240614,80.2014807,casual,low,solo,Nungambakkam,one hour,
Ganga sweets,fast_food,13.1282085,80.2016759,casual,low,solo,Nungambakkam,one hour,
Amma Super Market,supermarket,12.9412022,80.2402905,errands,low,family,Adyar,one hour,
Adyar Ananda Bhavan,restaurant,12.8736602,80.2264289,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Burger King,fast_food,12.8737663,80.2264394,casual,low,solo,Adyar,one hour,
Aavin Booth,cafe,13.0813864,80.2626494,chill,mid,solo,Nungambakkam,two hours,
Buhari Hotel,restaurant,13.079622,80.2243634,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
A2B Food Express,fast_food,13.077526,80.2250607,casual,low,solo,Nungambakkam,one hour,
Sri Krishna Sweets,fast_food,13.0844004,80.2192283,casual,low,solo,Nungambakkam,one hour,Explore this exciting spot!
KABAB CORNER,fast_food,13.0601673,80.2546158,casual,low,solo,Nungambakkam,one hour,
Crafe,cafe,13.0525907,80.2359545,chill,mid,solo,Nungambakkam,two hours,
The Madras Grand,restaurant,13.075221,80.2560383,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Faruuzi Multicuisine,restaurant,12.9484704,80.1937064,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Sangeetha Veg Restaurant,restaurant,12.9484678,80.1936384,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Nellai karupatti coffee,cafe,12.9379082,80.2352156,chill,mid,solo,Adyar,two hours,
broadlands hotel,restaurant,13.0630503,80.2734469,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
We Chai,cafe,13.0138912,80.1559695,chill,mid,solo,T. Nagar,two hours,
Nikis SuperMarket,supermarket,13.0148344,80.1532965,errands,low,family,T. Nagar,one hour,
Paati Veedu,restaurant,13.0477044,80.2390445,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
MR. BURGER,fast_food,12.9146904,80.1921048,casual,low,solo,Adyar,one hour,
Ibrahim's BBQ House,restaurant,13.0122894,80.2238705,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Jayam Andhra Mess,restaurant,13.0122977,80.2238958,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Hot Chips veg restaurant,restaurant,12.9208368,80.1969513,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Ayyanar Chettinad Restaurant,restaurant,12.9209308,80.1969868,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Arul Chettinad Hotel,restaurant,13.0737596,80.2259631,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Abid's Restaurant,restaurant,13.0716807,80.2504038,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Palimar Hotel,restaurant,13.072631,80.2522631,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Cake Waves,cafe,13.0471842,80.1991697,chill,mid,solo,Nungambakkam,two hours,
The Grand Sweets & Snacks,restaurant,13.0075596,80.2536416,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Naidu Andhra Mess,restaurant,13.0143188,80.2248506,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Sree Gupta Bhavan,restaurant,12.9876495,80.2180839,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Geetham,restaurant,12.9884101,80.2182575,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Rasavid,restaurant,12.9899176,80.2186763,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Haven Sampoorna,restaurant,12.990245,80.2187592,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Appu Kadai Briyani,restaurant,13.0111645,80.2240893,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Curry Kitchen,restaurant,12.983758,80.1657694,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
BBQ Bro's,restaurant,13.0564212,80.2741982,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Daniel Super Market,supermarket,13.0131367,80.2240167,errands,low,family,T. Nagar,one hour,
Hotel Ashok Bhavan,restaurant,13.0148042,80.2251186,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Senthil Nadar Stores,convenience,13.0924016,80.2612406,errands,low,family,Nungambakkam,one hour,
Balaji Batter Shop,convenience,13.0922834,80.2603841,errands,low,family,Nungambakkam,one hour,
Muthurajan Stores,convenience,13.0923191,80.2603812,errands,low,family,Nungambakkam,one hour,
Vanga Vanga,supermarket,13.0090742,80.2546834,errands,low,family,Adyar,one hour,
Azzuri bay,restaurant,13.0113205,80.2539306,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Green Bean,supermarket,13.0096655,80.2539882,errands,low,family,Adyar,one hour,
Butterheads,restaurant,13.0112709,80.2539592,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Fresh2day,supermarket,13.0097391,80.2519401,errands,low,family,Adyar,one hour,
Variety rice shop,fast_food,13.0130869,80.2240672,casual,low,solo,T. Nagar,one hour,
Friends Park,fast_food,12.9962725,80.2678267,casual,low,solo,Adyar,one hour,
Canadian Pizza,fast_food,12.9280297,80.1993735,casual,low,solo,Adyar,one hour,
Golden Dragon,restaurant,13.0583978,80.2473021,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Southern Spice,restaurant,13.0582098,80.2470479,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Anise,restaurant,13.0581405,80.247065,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
The Entrance Cafe,cafe,13.0832543,80.2384331,chill,mid,solo,Nungambakkam,two hours,
AMPHI THEATRE,cinema,13.0191364,80.2663999,entertainment,mid,friends,Adyar,half a day,
Cosmos,bar,12.9130338,80.1920733,party,high,friends,Adyar,one hour,
eswaran park,park,13.1316491,80.2622542,relax,free,solo,Nungambakkam,half a day,
Undu Magizh,restaurant,12.9051211,80.1879357,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Southern Railways Headquarters,yes,13.08255344,80.2771366,misc,mid,solo,Nungambakkam,one hour,
Arulmigu Parthasarathy Swamy Temple,place_of_worship,13.05394773,80.27636635,misc,mid,solo,Nungambakkam,one hour,
Chepauk Palace,castle,13.06364759,80.28166669,misc,mid,solo,Nungambakkam,one hour,
Victory War Memorial,memorial,13.07349573,80.28565534,misc,mid,solo,Nungambakkam,one hour,
Phoenix Marketcity Chennai,mall,12.99137202,80.21671631,shop,high,friends,Adyar,half a day,
Jeeva Park,park,13.04405276,80.2376934,relax,free,solo,T. Nagar,half a day,
Ramakrishna Mission School Ground,park,13.04323069,80.23817686,relax,free,solo,T. Nagar,half a day,
Somasundaram ground,park,13.04588718,80.2343313,relax,free,solo,Nungambakkam,half a day,
Independence Day Park,park,13.05642176,80.24219121,relax,free,solo,Nungambakkam,half a day,
Kotturpuram Park,park,13.02663845,80.24461819,relax,free,solo,T. Nagar,half a day,
People's Park,park,13.08928824,80.27223028,relax,free,solo,Nungambakkam,half a day,
Nageswara Rao Park,park,13.03648962,80.26351224,relax,free,solo,T. Nagar,half a day,
Kalaignar Noorandu Poonga,park,13.05048032,80.25415352,relax,free,solo,Nungambakkam,half a day,
Bougainvilla Park,park,13.09175557,80.22124564,relax,free,solo,Nungambakkam,half a day,
Anna Nagar Tower Park,park,13.08664105,80.21425776,relax,free,solo,Nungambakkam,half a day,
Alphonso Government play ground,park,13.02517656,80.27196918,relax,free,solo,T. Nagar,half a day,
Haddows Road Park,park,13.06323043,80.2485975,relax,free,solo,Nungambakkam,half a day,
Guindy National Park,attraction,12.99948091,80.22761322,touristy,low,family,Adyar,full day,
Independence Day Park,park,12.98118964,80.18588394,relax,free,solo,Adyar,half a day,
Senmozhi Poonga,attraction,13.0504737,80.25148659,touristy,low,family,Nungambakkam,full day,
Anna Park,park,13.10769267,80.28850403,relax,free,solo,Nungambakkam,half a day,
Royapuram,yes,13.10429332,80.29359246,misc,mid,solo,Nungambakkam,one hour,
MPT Ground,park,13.13999749,80.28989636,relax,free,solo,Nungambakkam,half a day,
Anna Park,park,13.13834439,80.29328085,relax,free,solo,Nungambakkam,half a day,
Mehta Nagar Ground,park,13.07030172,80.22753063,relax,free,solo,Nungambakkam,half a day,
Circular Park,park,13.0520607,80.22552099,relax,free,solo,Nungambakkam,half a day,
Sector 10 Ground,park,13.04312265,80.1953578,relax,free,solo,Nungambakkam,half a day,
Gandhinagar Playground,park,13.05644013,80.20770972,relax,free,solo,Nungambakkam,half a day,
Periyar Ground,park,13.05870377,80.20605936,relax,free,solo,Nungambakkam,half a day,
Kalaignar Karunanidhi Park,park,13.03009082,80.25187045,relax,free,solo,T. Nagar,half a day,
MMC Ground,park,13.08702792,80.28281159,relax,free,solo,Nungambakkam,half a day,
Natesan Park,park,13.03764244,80.23644995,relax,free,solo,T. Nagar,half a day,
Corporation Ground,park,13.03708001,80.23556287,relax,free,solo,T. Nagar,half a day,
Park 113,park,13.04780054,80.25067785,relax,free,solo,Nungambakkam,half a day,
Ispahani Centre,mall,13.05536598,80.24984357,shop,high,friends,Nungambakkam,half a day,
Chennai Trade Center,attraction,13.01360897,80.19024379,touristy,low,family,T. Nagar,full day,
Indira Nagar Park,park,12.99855626,80.25249878,relax,free,solo,Adyar,half a day,
Apex Plaza,mall,13.054683,80.24919375,shop,high,friends,Nungambakkam,half a day,
Shastri Nagar Ground,park,12.99989123,80.26138495,relax,free,solo,Adyar,half a day,
Fort Park,park,13.07716997,80.28779842,relax,free,solo,Nungambakkam,half a day,
Chennai Citi Center Mall,mall,13.0428862,80.2738874,shop,high,friends,T. Nagar,half a day,
Vindhya Mess,restaurant,12.99045526,80.23507523,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Thiru Vi Ka Park,park,13.07872756,80.22510709,relax,free,solo,Nungambakkam,half a day,
Crescent Ground,park,13.08161266,80.22037479,relax,free,solo,Nungambakkam,half a day,
Patel Park,park,13.09623916,80.25294749,relax,free,solo,Nungambakkam,half a day,
Ramanujalu Park,park,13.09556997,80.25749542,relax,free,solo,Nungambakkam,half a day,
M.G.R Memorial,park,13.06445814,80.28506608,relax,free,solo,Nungambakkam,half a day,
Anna Memorial,park,13.06567174,80.28491233,relax,free,solo,Nungambakkam,half a day,
Public Works Department,building,13.06194554,80.28216292,misc,mid,solo,Nungambakkam,one hour,
Tholkappiar Ecological Park,park,13.02221481,80.26729655,relax,free,solo,T. Nagar,half a day,
Jai Nagar Park,park,13.06901385,80.20786476,relax,free,solo,Nungambakkam,half a day,
Defence Colony Park,park,13.02748165,80.20191282,relax,free,solo,T. Nagar,half a day,
Corporation Playground,park,13.02829759,80.24178702,relax,free,solo,T. Nagar,half a day,
Sivan Park,park,13.04170624,80.20495332,relax,free,solo,T. Nagar,half a day,
Le Meridian,restaurant,13.00663408,80.20559404,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
CORPORATION PARK,park,13.02187446,80.25505613,relax,free,solo,T. Nagar,half a day,
Senior Citizens Park,park,13.01965812,80.2432012,relax,free,solo,T. Nagar,half a day,
Periyar Science and Technology Centre,attraction,13.01248645,80.24355304,touristy,low,family,T. Nagar,full day,
Kart Attack Go Karting,attraction,12.89603194,80.24593792,touristy,low,family,Adyar,full day,
Annie Besant Park,park,13.0504191,80.28055318,relax,free,solo,Nungambakkam,half a day,
Corporation Ground,park,13.10907901,80.24282012,relax,free,solo,Nungambakkam,half a day,
Kotturpuram Tree Park,park,13.02368807,80.24501003,relax,free,solo,T. Nagar,half a day,
Thiruvalluvar Nagar Park,park,12.97893126,80.26226501,relax,free,solo,Adyar,half a day,
Chennai Corporation Park,park,12.97013303,80.24703592,relax,free,solo,Adyar,half a day,
CEG Canteen,restaurant,13.01038207,80.23674355,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Express Avenue Mall,mall,13.05864217,80.26420646,shop,high,friends,Nungambakkam,half a day,
Sathyam Cinemas,cinema,13.05540307,80.25818869,entertainment,mid,friends,Nungambakkam,half a day,
VPG Selva Nagar Park,park,12.97137791,80.22328512,relax,free,solo,Adyar,half a day,
Adyar Ananda Bhavan,restaurant,12.97317612,80.22036757,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Baby Nagar Sports Park,park,12.97910082,80.22906335,relax,free,solo,Adyar,half a day,
Nathan Subramaniam Colony Park,park,12.96833315,80.2207448,relax,free,solo,Adyar,half a day,
Mylapore Kapaleeshwarar Temple Tank,monument,13.03342909,80.26865757,misc,mid,solo,T. Nagar,one hour,
Valluvar Kottam,attraction,13.05426603,80.24177831,touristy,low,family,Nungambakkam,full day,
Vivekanandar Illam,attraction,13.0495083,80.28033405,touristy,low,family,Nungambakkam,full day,
Taj Connemara Hotel,yes,13.06277137,80.26134452,misc,mid,solo,Nungambakkam,one hour,
Bharat Insurance Building,yes,13.06503121,80.26727824,misc,mid,solo,Nungambakkam,one hour,
Raj Theatre,cinema,13.01962389,80.22330518,entertainment,mid,friends,T. Nagar,half a day,
Srinivasa Theatre,cinema,13.03102288,80.22472722,entertainment,mid,friends,T. Nagar,half a day,
Zion Church,place_of_worship,13.07520086,80.27197127,misc,mid,solo,Nungambakkam,one hour,
Langs Garden Park,park,13.07237831,80.26709668,relax,free,solo,Nungambakkam,half a day,
"Avin, Snacks and Eateries",cafe,13.08276079,80.2758888,chill,mid,solo,Nungambakkam,two hours,
Ega,cinema,13.0780607,80.24044706,entertainment,mid,friends,Nungambakkam,half a day,
Udhayam Theatre,cinema,13.03458805,80.21047758,entertainment,mid,friends,T. Nagar,half a day,
Jayapradha,cinema,13.06215361,80.26689167,entertainment,mid,friends,Nungambakkam,half a day,
Maadi Poonga,park,13.10383016,80.28860862,relax,free,solo,Nungambakkam,half a day,
Saravana,cinema,13.09269925,80.25156166,entertainment,mid,friends,Nungambakkam,half a day,
Gill Nagar Park,park,13.06405488,80.22471844,relax,free,solo,Nungambakkam,half a day,
Saravana Bhavan,fast_food,13.05103244,80.21378837,casual,low,solo,Nungambakkam,one hour,
Chennai Corporation Park,park,13.06916336,80.22272557,relax,free,solo,Nungambakkam,half a day,
Agasthya Theatre,cinema,13.12442576,80.28964354,entertainment,mid,friends,Nungambakkam,half a day,
AGS Cinemas,cinema,13.10465888,80.20916044,entertainment,mid,friends,Nungambakkam,half a day,
Children's Road Safety and Traffic Park,park,13.06747731,80.28471237,relax,free,solo,Nungambakkam,half a day,
Lakshmi Talkies,cinema,13.07474968,80.22779241,entertainment,mid,friends,Nungambakkam,half a day,
Sangam Cinemas,cinema,13.0793574,80.24941233,entertainment,mid,friends,Nungambakkam,half a day,
Nilgris Super Market,supermarket,12.94824862,80.19938672,errands,low,family,Adyar,one hour,
Rohini Silver Screens,cinema,13.07582693,80.19587074,entertainment,mid,friends,Nungambakkam,half a day,
Rohini Silver Screens,cinema,13.07586636,80.19583542,entertainment,mid,friends,Nungambakkam,half a day,
Yesesi Supermarket,supermarket,13.09013747,80.21787762,errands,low,family,Nungambakkam,one hour,
Pilot Theatre,cinema,13.05067612,80.26360525,entertainment,mid,friends,Nungambakkam,half a day,
Kamaraj Memorial House,attraction,13.04741502,80.23952227,touristy,low,family,Nungambakkam,full day,
Star Theatre,cinema,13.06283508,80.27455062,entertainment,mid,friends,Nungambakkam,half a day,
Rohini Garden Park,park,13.02193595,80.26939824,relax,free,solo,Adyar,half a day,
Buvaneshvari,cinema,13.09161306,80.25832581,entertainment,mid,friends,Nungambakkam,half a day,
Murugan Idli Shop,restaurant,12.9825244,80.18820417,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
DATA Udipi Hotel,restaurant,13.02018988,80.22470075,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
SAF Games Village Park,park,13.0646344,80.20831983,relax,free,solo,Nungambakkam,half a day,
IAS Officers Mess,restaurant,13.0623715,80.20798914,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Santosh Super Stores,supermarket,13.0848536,80.2059791,errands,low,family,Nungambakkam,one hour,
VGN Blooming Garden Park 2,park,13.01541865,80.15496559,relax,free,solo,T. Nagar,half a day,
VGN Blooming Garden Park 1,park,13.0153629,80.15311306,relax,free,solo,T. Nagar,half a day,
VND Avenue Park,park,13.01805003,80.15308044,relax,free,solo,T. Nagar,half a day,
Chennai Corporation Play ground and Park,park,13.0263236,80.21898189,relax,free,solo,T. Nagar,half a day,
Hotel Valarmathi,restaurant,13.02232605,80.22013045,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Mari Hotel,restaurant,13.02205231,80.22111262,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Gowri Nivas Hotel,restaurant,13.02222475,80.22317805,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Reliance Fresh,supermarket,13.02451623,80.22160338,errands,low,family,T. Nagar,one hour,
Gandhi Park,park,13.02151574,80.22097731,relax,free,solo,T. Nagar,half a day,
Madaipalli,temple,13.02139558,80.22158307,spiritual,free,solo,T. Nagar,weekend trip,
Sai Baba Temple,place_of_worship,13.037654,80.2218419,misc,mid,solo,T. Nagar,one hour,
Chennai Corporatin Park,park,13.0305306,80.2158865,relax,free,solo,T. Nagar,half a day,
Richar Park,park,13.0197572,80.2271559,relax,free,solo,T. Nagar,half a day,
Nilgiri's,supermarket,13.01636947,80.17839031,errands,low,family,T. Nagar,one hour,
Deepa Chat,fast_food,12.98076634,80.18819653,casual,low,solo,Adyar,one hour,
Sugar cane juice & tea,cafe,12.98236417,80.18828201,chill,mid,solo,Adyar,two hours,
ambika stores,convenience,12.98174395,80.18827156,errands,low,family,Adyar,one hour,
Amma Unavagam,restaurant,13.10303354,80.20914579,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Thalappakatti,restaurant,13.00273738,80.27242874,romantic,mid,date,Besant Nagar,two hours,Explore this exciting spot!
Dindigul Thalappakatti,restaurant,13.00752306,80.20698188,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Green Mantra,convenience,12.98177857,80.18910401,errands,low,family,Adyar,one hour,
Cafe Coffee Day,cafe,13.04703041,80.23653218,chill,mid,solo,Nungambakkam,two hours,
Chettinad House,castle,13.01572353,80.26923279,misc,mid,solo,Adyar,one hour,
Subway,fast_food,13.04682789,80.23585482,casual,low,solo,Nungambakkam,one hour,
Mattas,restaurant,13.03718084,80.21360388,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
KFC,fast_food,12.96795935,80.25746397,casual,low,solo,Adyar,one hour,
Murugan Idli Shop,restaurant,13.04538495,80.2328621,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
D Cafe,restaurant,13.04679366,80.23527568,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
JK Supermart,supermarket,12.95983297,80.2437227,errands,low,family,Adyar,one hour,
Shree Mithai,cafe,13.0328717,80.21220383,chill,mid,solo,T. Nagar,two hours,
Bakya Sargakhet,restaurant,13.03800655,80.22175425,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Nilgiri Mess,restaurant,12.98434494,80.2325138,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
McDonald's,fast_food,13.03165652,80.21118471,casual,low,solo,T. Nagar,one hour,
Adyar Ananda Bhavan,restaurant,13.0107826,80.13930588,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Pazhamudhir Nilayam,supermarket,13.04890248,80.22705979,errands,low,family,Nungambakkam,one hour,
Himalayas supermarket,supermarket,12.96563637,80.20500701,errands,low,family,Adyar,one hour,
GRT School Playground,park,13.0379068,80.21665565,relax,free,solo,T. Nagar,half a day,
Aarathana Theatre,cinema,12.92995843,80.2520561,entertainment,mid,friends,Adyar,half a day,
Annachi Kadai,supermarket,13.0648853,80.22182865,errands,low,family,Nungambakkam,one hour,
Sri Venkateshwara,restaurant,12.96036007,80.24193529,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
More,supermarket,12.93748036,80.20542856,errands,low,family,Adyar,one hour,
osr,park,13.05331403,80.19096015,relax,free,solo,Nungambakkam,half a day,
Muthu Super Market,supermarket,13.075826,80.22464072,errands,low,family,Nungambakkam,one hour,
Pastry Boutique,cafe,13.08488557,80.23465531,chill,mid,solo,Nungambakkam,two hours,
Five star,restaurant,12.98713004,80.25831281,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
